2013	06	01	09	41	20
2013	06	02	02	09	04
2013	06	08	03	45	04
2013	06	08	07	16	16
2013	06	10	02	36	48
2013	06	11	03	55	44
2013	06	12	02	50	40
2013	06	13	08	58	40
2013	06	21	18	32	32
2013	06	22	15	46	08
2013	06	23	03	57	52
2013	06	23	04	00	00
2013	06	27	13	53	04
2013	06	27	13	53	04
2013	06	30	10	36	48
2013	06	30	10	36	48
2013	07	05	11	10	56
2013	07	09	19	49	20
2013	07	09	19	58	56
2013	07	09	19	57	52
2013	07	18	14	29	20
2013	08	23	23	56	48
2013	08	23	23	56	48
2013	08	26	03	38	40
2013	08	30	09	56	16
2013	09	08	00	11	44
