Year Month Day     Hour  Minute Sec  Type    Position                           B_up                  Bx_up                  By_up                 Bz_up                   B_down                   Bx_down              By_down                Bz_down                  B_ratio                 V_up                      Vx_up                     Vy_up                  Vz_up                      V_down                    Vx_down                 Vy_down                 Vz_down                      Vjump                    Np_up                     Np_down                   Np_ratio                 Tp_up                    Tp_down                  Tp_ratio                Cs_up                   Va_up                    Vms_up                     Beta_up                  n_vector                                                            Theta                   Vsh                        M_A                      Mms                    V_quality Analysis int length Mag data res Pla data res
2021    12    27    09    38    33     FF       10.5800   -0.2500   -0.3000      4.7133 +-   0.0058     -0.0267 +-   0.0115     -0.8533 +-   0.1069     -4.6300 +-   0.0100      8.9975 +-   0.6912     -2.1688 +-   0.6812     -3.3850 +-   1.1752     -7.8825 +-   0.7591      1.9089 +-   0.1467    329.7000 +-  0.0000    -329.3000 +-  0.0000    -13.8000 +-  0.0000     5.4000 +-  0.0000    370.2000 +-  0.3873    -369.1714 +-  0.4716    -24.3286 +-  2.4074    12.5714 +-  1.5692    40.5000 +-  0.3873     8.2400 +-  0.0000    18.3014 +-  0.6157     2.2210 +-  0.0747     2.5599 +-  0.0000     4.6561 +-  0.1636     1.8189 +-  0.0639    48.6267 +-  4.2199    35.7893 +-  0.0000    60.3774 +-  3.3986     2.2153 +-  0.6408    -0.8340 +-  0.0793    -0.0031 +-  0.1401     0.5517 +-  0.1200    57.5011 +-  8.4797    345.4105 +- 30.6807     1.8929 +-  0.1638     1.1220 +-  0.1158             0       8.0     81.429    126.7
2022    01    18    23    42    38     FF       13.2800    0.2200    0.3800      5.1413 +-   0.2882      1.7437 +-   0.4907     -3.9850 +-   0.3913     -2.2575 +-   0.8494      7.7200 +-   0.1390     -0.7175 +-   0.6334     -7.1813 +-   0.2805     -2.1663 +-   1.0351      1.5016 +-   0.0884    593.8625 +- 12.9836    -592.1375 +- 13.0884    -38.6750 +-  5.0111    -12.4500 +- 16.1690    682.9250 +-  7.1228    -680.7875 +-  7.1738    -52.3625 +-  3.4243     7.0125 +-  9.1965    89.0625 +- 14.8090     1.5200 +-  0.0852     2.6500 +-  0.2449     1.7434 +-  0.1884    12.4839 +-  1.2282    18.5403 +-  3.5860     1.4851 +-  0.3223    61.0581 +-  3.6465    91.1526 +-  7.5460    109.8151 +-  6.0645     0.5493 +-  0.1342    -0.7570 +-  0.1325     0.5909 +-  0.1796     0.2791 +-  0.4161    28.5567 +- 16.6887    573.0470 +- 108.7535     1.6581 +-  0.5385     1.3763 +-  0.4388             0       8.0     60.000     60.0
2022    03    10    17    31    09     FF       12.4800   -1.5300    0.4200      6.3250 +-   0.0524      1.3450 +-   0.3912      0.9938 +-   0.3059     -6.0175 +-   0.0897      9.1113 +-   0.2887      0.1237 +-   0.9232      0.6312 +-   1.3815     -8.8238 +-   0.5192      1.4405 +-   0.0472    343.9125 +-  1.3163    -343.6125 +-  1.3653     7.8625 +-  1.5445    -10.4250 +-  3.1959    365.9000 +-  1.0526    -364.7000 +-  1.0696    26.4000 +-  1.6912    -12.8667 +-  2.5375    21.9875 +-  1.6854     5.9912 +-  0.2891     8.9933 +-  0.7233     1.5011 +-  0.1408     2.0073 +-  0.2678     2.1741 +-  0.2210     1.0831 +-  0.1816    47.8372 +-  4.3069    56.4102 +-  1.5819    73.9702 +-  3.0168     0.8649 +-  0.2637    -0.6601 +-  0.1576     0.7258 +-  0.0975     0.1935 +-  0.3821    77.6935 +- 21.2038    311.1105 +- 67.2197     1.4287 +-  0.3433     1.0895 +-  0.2638             0       8.0     60.000     71.2
2022    03    28    01    32    28     FR       12.0000   -1.6800    0.3300      4.7925 +-   0.1507     -4.3887 +-   0.1132     -0.4275 +-   0.7142     -1.6150 +-   0.4537      6.4657 +-   0.1243     -5.0557 +-   0.2694      2.1243 +-   0.5258     -3.2329 +-   0.2159      1.3491 +-   0.0497    520.6571 +-  1.8814    -519.8000 +-  1.9166    27.7571 +-  1.7223    -11.1000 +-  1.9451    495.3167 +-  2.9587    -493.0833 +-  2.9342    43.7833 +-  3.3457    -15.6000 +-  1.7765    25.3405 +-  3.5062     4.0700 +-  0.1487     6.1717 +-  0.2513     1.5164 +-  0.0830    14.9283 +-  1.2335    18.6227 +-  1.5207     1.2475 +-  0.1449    63.7541 +-  3.4860    51.5607 +-  2.1863    82.0051 +-  3.2879     1.8406 +-  0.3354     0.9639 +-  0.0350     0.2653 +-  0.1258     0.0211 +-  0.1060    21.2088 +- 10.1868    406.0914 +- 27.9850     1.7035 +-  0.2871     1.0711 +-  0.1799             0       8.0     63.333     71.2
2022    04    27    05    15    54     FF       12.4400   -0.7400   -0.1500      4.5863 +-   0.1085     -3.4512 +-   0.1495     -2.4013 +-   0.2649     -1.7625 +-   0.2073      5.8513 +-   0.4286     -4.3925 +-   0.3313     -2.9938 +-   1.0248     -1.9550 +-   0.6063      1.2758 +-   0.0982    374.4667 +-  0.9292    -374.2333 +-  1.2503     4.7333 +-  2.0207     8.4333 +-  9.9450    396.9000 +-  1.9000    -396.7333 +-  1.8502    -1.1333 +- 11.1500    -1.5000 +-  3.0000    22.4333 +-  2.1150     6.0500 +-  0.0436     9.2500 +-  0.3000     1.5289 +-  0.0508     9.2550 +-  0.7190    11.4773 +-  0.3711     1.2401 +-  0.1044    57.3160 +-  3.6839    40.9992 +-  0.2895    70.4722 +-  2.9854     2.3461 +-  0.4964    -0.3110 +-  1.2143     0.7021 +-  0.9017    -0.6406 +-  1.4103    83.4975 +- 43.0895    141.0021 +- 505.9543     0.6515 +-  1.4574     0.3790 +-  0.8481             0       8.0     60.000    126.7
2022    05    11    14    14    24     FF       13.5300   -0.4300   -0.3200      7.1275 +-   0.1361      3.7938 +-   0.1700     -5.9837 +-   0.1689     -0.1238 +-   0.5301      9.1638 +-   0.1021      3.9162 +-   0.1515     -8.2450 +-   0.1207     -0.5038 +-   0.5432      1.2857 +-   0.0284    283.3750 +-  4.0921    -282.3750 +-  3.7538    -21.0375 +-  5.6437     8.1000 +-  2.7578    308.3375 +-  1.5109    -307.4750 +-  1.4400    -20.6500 +-  0.8502     8.8750 +-  2.3951    24.9625 +-  4.3621     9.2700 +-  1.2498    12.8163 +-  0.2102     1.3826 +-  0.1878     2.2730 +-  0.3516     2.3443 +-  0.1168     1.0314 +-  0.1676    48.2169 +-  4.2853    51.2960 +-  2.5089    70.4270 +-  3.2671     1.0694 +-  0.3417    -0.9982 +-  0.0067    -0.0572 +-  0.1007     0.0187 +-  0.1495    60.8949 +-  6.7244    373.7381 +- 34.0147     1.7647 +-  0.6933     1.2853 +-  0.5046             0       8.0     60.000     60.0
2022    07    11    17    16    21     FF       12.5600    0.1800   -1.2400      8.1350 +-   0.1131     -3.0875 +-   0.2481      7.4813 +-   0.1025     -0.6400 +-   0.4090     15.3137 +-   2.5542     -5.5850 +-   0.9870     13.9462 +-   2.3396     -2.5337 +-   1.1512      1.8825 +-   0.3151    323.9625 +-  1.0914    -320.6625 +-  1.0042    -27.2500 +-  1.3071    37.2625 +-  1.2994    352.5000 +-  9.3281    -348.7750 +-  9.5364    -45.0875 +-  5.0275     0.7500 +- 15.4406    28.5375 +-  9.3918    10.4025 +-  0.5695    21.5363 +-  4.6226     2.0703 +-  0.4586     2.3765 +-  0.1218     6.3446 +-  1.7015     2.6697 +-  0.7289    48.3663 +-  4.2462    55.0862 +-  2.2195    73.3209 +-  3.2138     0.9294 +-  0.2831    -0.5466 +-  0.2028    -0.4229 +-  0.1822    -0.7227 +-  0.1683    82.8296 +- 12.2914    255.2432 +- 65.8219     1.7311 +-  0.5729     1.3006 +-  0.4310             0       8.0     60.000     60.0
2023    01    23    03    48    41     FF       14.4300   -1.8300    0.9900      6.5612 +-   0.0706     -2.2075 +-   0.3065     -0.7450 +-   0.5489      6.0875 +-   0.1861     10.3738 +-   0.2525      0.2862 +-   1.1534      3.7512 +-   3.0633      8.7225 +-   1.0552      1.5811 +-   0.0421    424.1333 +-  0.8710    -421.4000 +-  1.3550    37.8333 +-  3.4448    -28.6000 +-  9.9076    491.8333 +- 12.5783    -489.4500 +- 14.3740    18.7000 +- 23.4764    -27.1333 +- 14.0890    67.7000 +- 12.6085     2.9667 +-  0.1409     4.4967 +-  0.2949     1.5157 +-  0.1227    12.3634 +-  1.4618    17.1883 +-  2.9777     1.3903 +-  0.2916    60.9173 +-  3.7635    83.2288 +-  2.6785    103.1737 +-  2.3870     0.6465 +-  0.1384    -0.8845 +-  0.1480     0.2658 +-  0.2665     0.3835 +-  0.4009    51.1439 +- 26.2356    535.3934 +- 114.8867     1.9656 +-  0.7391     1.5857 +-  0.5952             0       8.0     60.000     76.0
2023    03    08    01    44    29     FR       13.6500   -0.9800   -0.0400      3.1600 +-   0.0487      0.0000 +-   0.9058     -0.5888 +-   0.4225      2.3237 +-   0.3001      3.8525 +-   0.0526      3.4350 +-   0.2940     -0.4125 +-   0.3661      1.2250 +-   0.9234      1.2191 +-   0.0251    466.2125 +-  5.8934    -464.4375 +-  5.6994     6.2125 +-  4.2800    38.7375 +-  3.1708    431.8500 +-  4.4449    -430.7500 +-  4.1857     1.9375 +-  4.5368    28.7125 +-  6.0770    34.3625 +-  7.3817     2.9475 +-  0.1809     3.9425 +-  0.4267     1.3376 +-  0.1664     5.0597 +-  0.5990     4.2507 +-  0.3520     0.8401 +-  0.1214    52.0376 +-  4.0218    40.2020 +-  1.5216    65.7714 +-  3.2650     2.0197 +-  0.5407     0.0823 +-  0.6051    -0.9918 +-  0.2285     0.0982 +-  1.8153    70.1982 +- 103.6319    16.6957 +- 205.3905     0.5941 +-  0.8488     0.3631 +-  0.5189             0       8.0     60.000     60.0
2023    05    07    21    34    30     FF       11.8300   -0.6900    0.7800     10.5488 +-   0.3252     -0.2737 +-   0.8995      8.1188 +-   1.2658      3.4313 +-   2.7385     13.2925 +-   0.5068      3.6938 +-   2.3904     10.2912 +-   2.2305     -0.2388 +-   2.1993      1.2601 +-   0.0618    449.4375 +-  5.5821    -447.9750 +-  5.7168    -9.3250 +-  3.8306    -27.2500 +- 14.2784    509.7333 +-  8.4296    -509.1833 +-  8.8033    -16.2167 +- 12.0159    -5.2333 +-  8.5240    60.2958 +- 10.1103     9.7150 +-  1.2600    13.3667 +-  0.5237     1.3759 +-  0.1864     9.4130 +-  1.3698    10.6732 +-  2.1840     1.1339 +-  0.2847    57.4898 +-  3.9201    74.1030 +-  3.3839    93.8372 +-  2.9091     0.7297 +-  0.1852    -0.7207 +-  0.3807     0.4932 +-  0.9062    -0.4872 +-  0.6726    73.3294 +- 68.8696    441.3061 +- 280.6155     1.4813 +-  1.6148     1.1698 +-  1.2746             0       8.0     60.000     67.1
